City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Vila Velha,BR,69.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
474,Alice Springs,AU,51.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
476,Fernie,CA,68.97,few clouds,49.5,-115.0687,Fernie Stanford Resort
479,Kemijarvi,FI,53.91,moderate rain,66.7131,27.4306,Hotelli Kemijärvi
482,Nome,US,57.27,light rain,64.5011,-165.4064,Dredge 7 Inn
485,Roald,NO,60.85,few clouds,62.5833,6.1333,Flem Cabins
490,Verkh-Usugli,RU,58.1,few clouds,52.7,115.1667,"Gostinitsa ""Sever"""
492,Ihosy,MG,63.79,clear sky,-22.4,46.1167,Tamana Hôtel
493,Port Keats,AU,70.45,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
497,Sawtell,AU,50.32,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
498,Thunder Bay,CA,64.29,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
503,Carballo,ES,71.02,broken clouds,43.213,-8.691,Pazo do Souto
509,Ahipara,NZ,52.92,light rain,-35.1667,173.1667,Ahipara Holiday Park
510,Chipinge,ZW,64.33,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
513,Klyuchi,RU,68.83,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
515,Jumla,NP,62.92,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
520,Rovaniemi,FI,51.21,scattered clouds,66.5,25.7167,Arctic City Hotel
522,Jiayuguan,CN,71.83,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
525,Joshimath,IN,70.36,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
529,Huanren,CN,70.34,broken clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
531,Necochea,AR,57.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
535,Makungu,TZ,69.04,clear sky,-8.7333,35.2833,Complex
537,Antofagasta,CL,65.21,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
540,Formosa,AR,51.78,light rain,-26.1775,-58.1781,Hotel Portal del Sol
545,Alofi,NU,71.49,light rain,-19.0595,-169.9187,Taloa Heights
547,Antalaha,MG,71.15,light rain,-14.9003,50.2788,Hotel Vitasoa
554,Ostersund,SE,55.85,scattered clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
557,Khorinsk,RU,63.79,broken clouds,52.1657,109.7726,Uda
560,Picton,AU,51.03,overcast clouds,-34.1833,150.6,Picton Valley Motel
561,Darhan,MN,66.24,moderate rain,49.4867,105.9228,Buudai Hotel
563,Yuryevets,RU,71.89,overcast clouds,57.3201,43.1041,Pavlikov House
564,Gold Coast,AU,55.99,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
570,Smithers,CA,50.32,mist,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
571,Esso,RU,53.26,scattered clouds,55.9333,158.7,Paramushir Tur
580,Homer,US,58.89,clear sky,59.6425,-151.5483,Beluga Lake Lodge
581,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
586,Ballina,AU,53.78,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
588,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
594,Jiexiu,CN,69.33,few clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
595,Yekaterinoslavka,RU,70.9,broken clouds,50.3734,129.1139,Oktyabr'skaya
599,Nouadhibou,MR,71.15,clear sky,20.931,-17.0347,El Medina
607,Krasnoselkup,RU,59.58,few clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
611,Hoquiam,US,60.78,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
619,Assiniboia,CA,67.91,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
621,Yelizovo,RU,57.34,broken clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
625,Storforshei,NO,51.58,broken clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
626,Boguchany,RU,57.69,light rain,58.3814,97.4531,Uyut
628,Xai-Xai,MZ,69.67,few clouds,-25.0519,33.6442,Complexo da Familia
634,Kargasok,RU,62.46,light rain,59.0556,80.8572,Hotel Kargasok
637,Kozhva,RU,67.08,scattered clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
639,Athabasca,CA,59.41,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
643,Varhaug,NO,62.78,broken clouds,58.6147,5.6457,Jonas Bue
644,Rusape,ZW,65.93,clear sky,-18.5278,32.1284,Surrey Lodge
645,Altamont,US,66.78,overcast clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
649,Udachnyy,RU,66.07,overcast clouds,66.4167,112.4,Severnoye Siyaniye
650,Gornopravdinsk,RU,69.6,overcast clouds,60.05,69.9,Burovik
654,De-Kastri,RU,60.66,overcast clouds,51.4667,140.7833,Somon Hotel
655,Charlottetown,CA,71.89,overcast clouds,46.2352,-63.1267,Rodd Charlottetown
658,La Grande,US,70.0,overcast clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
659,Magadan,RU,52.36,overcast clouds,59.5667,150.8,Magadan hotel
662,Siilinjarvi,FI,62.62,overcast clouds,63.0833,27.6667,Hotelli Sandels Oy
674,Gorlice,PL,66.96,overcast clouds,49.6556,21.1604,Motelik Grosar
681,Portland,US,64.63,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
691,Lompoc,US,69.93,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
