City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Rio Grande,BR,2021-07-17 14:45:57,-32.035,-52.0986,60.94,70,0,13.4
274,Teknaf,BD,2021-07-17 14:49:43,20.8624,92.3058,81.25,85,100,1.88
275,Tura,IN,2021-07-17 14:49:44,25.5198,90.2201,73.56,96,81,4.36
276,Conceicao Da Barra,BR,2021-07-17 14:49:44,-18.5933,-39.7322,80.37,57,9,8.48
277,Arraial Do Cabo,BR,2021-07-17 14:49:44,-22.9661,-42.0278,75.16,83,75,5.75
278,Severo-Kurilsk,RU,2021-07-17 14:49:45,50.6789,156.125,53.83,97,99,2.42
279,Yaan,NG,2021-07-17 14:49:45,7.3833,8.5667,80.46,78,96,7.52
280,Nizhneivkino,RU,2021-07-17 14:49:45,58.194,49.5214,75.7,63,82,2.95
281,Flin Flon,CA,2021-07-17 14:45:12,54.7682,-101.865,51.64,71,90,10.36
282,Kavaratti,IN,2021-07-17 14:49:46,10.5669,72.642,82.81,79,85,17.63
283,Asfi,MA,2021-07-17 14:49:46,32.2994,-9.2372,81.86,50,6,22.32
284,Cruz Alta,BR,2021-07-17 14:49:47,-28.6386,-53.6064,55.38,68,2,10.38
285,Qaanaaq,GL,2021-07-17 14:49:47,77.484,-69.3632,35.64,93,87,7.92
286,Bacabal,BR,2021-07-17 14:49:48,-4.2917,-44.7917,92.82,42,18,6.4
287,Beringovskiy,RU,2021-07-17 14:49:48,63.05,179.3167,47.77,90,68,9.98
288,Bajil,YE,2021-07-17 14:49:48,15.0584,43.2851,94.8,29,100,20.42
289,Manacor,ES,2021-07-17 14:49:49,39.5696,3.2096,88.52,51,0,1.43
290,Camacupa,AO,2021-07-17 14:49:49,-12.0167,17.4833,79.41,19,27,4.92
291,Dossor,KZ,2021-07-17 14:49:49,47.5272,52.9811,94.87,22,96,15.79
292,Binga,ZW,2021-07-17 14:49:50,-17.6203,27.3414,70.48,45,27,1.81
